code,name,price,pct,amount_yi,close,ma20,ma60,dif,dea,hist,vol_ratio_5,low5,F1_macd共振,F2_回踩企稳
300759,康龙化成,49.8,3.97,51.6,49.8,40.45,31.28,4.052,3.228,1.648,0.96,39.6,False,True
600664,哈药股份,8.86,0.57,44.9,8.86,6.39,4.32,1.09,0.845,0.489,1.16,6.45,False,True
000100,TCL科技,5.17,1.57,44.5,5.17,4.96,4.92,-0.01,-0.038,0.056,1.29,4.77,True,False
603296,华勤技术,85.97,8.8,42.9,85.97,81.18,77.82,0.985,0.977,0.016,1.83,77.88,True,False
603127,昭衍新药,51.9,1.47,28.2,51.9,47.13,40.8,2.362,1.876,0.972,0.85,46.2,False,True
600721,百花医药,14.5,3.35,25.7,14.5,8.69,7.71,1.577,0.796,1.561,2.06,10.1,True,False
601108,财通证券,8.98,7.29,21.9,8.98,8.44,8.26,0.033,0.005,0.055,3.3,8.27,True,False
002317,众生药业,29.0,3.76,20.3,29.0,27.31,25.5,0.508,0.444,0.128,1.27,27.12,True,False
000783,长江证券,9.15,3.16,18.7,9.15,8.73,8.56,0.06,0.028,0.064,1.82,8.7,True,False
601988,中国银行,5.95,2.06,17.1,5.95,5.94,5.85,0.004,0.018,-0.029,1.19,5.72,False,True
300347,泰格医药,55.32,3.02,16.2,55.32,50.7,45.46,2.046,1.669,0.754,1.04,49.08,False,True
688180,君实生物-U,40.13,3.88,16.1,40.13,37.07,34.74,0.946,0.714,0.465,1.41,36.6,True,False
002589,瑞康医药,3.71,4.51,14.0,3.71,2.89,2.77,0.191,0.09,0.201,1.62,2.73,True,False
688222,成都先导,39.86,5.17,13.8,39.86,30.79,30.36,1.833,0.614,2.437,1.01,30.36,False,True
300558,贝达药业,68.47,1.29,13.6,68.47,61.28,58.44,1.997,0.977,2.039,0.92,60.81,False,True
603456,九洲药业,18.26,8.5,13.5,18.26,15.33,14.01,0.76,0.489,0.541,1.38,15.1,True,False
002294,信立泰,35.8,1.45,13.4,35.8,34.57,34.0,0.067,-0.162,0.458,1.1,33.8,False,True
688046,药康生物,40.95,6.09,13.1,40.95,28.54,23.57,3.858,2.333,3.05,1.13,27.74,False,True
601872,招商轮船,17.13,0.65,13.0,17.13,16.42,16.4,0.336,0.252,0.168,0.76,16.43,False,True
300026,红日药业,3.76,7.43,9.6,3.76,3.4,3.22,0.087,0.066,0.042,2.26,3.31,True,False
300149,睿智医药,11.34,5.0,9.5,11.34,9.73,9.04,0.449,0.25,0.398,1.12,9.56,False,True
600196,复星医药,24.43,0.74,8.9,24.43,23.34,22.7,0.332,0.202,0.26,0.87,22.64,False,True
600129,太极集团,16.61,3.23,8.7,16.61,15.7,14.65,0.33,0.316,0.028,1.35,15.13,True,False
688192,迪哲医药-U,61.19,4.08,8.3,61.19,56.08,48.93,1.927,1.584,0.686,1.06,52.2,False,True
000759,中百集团,7.35,3.23,8.1,7.35,6.93,6.34,0.175,0.164,0.022,1.26,6.58,True,False
688073,毕得医药,84.83,6.57,8.0,84.83,55.26,52.01,6.713,2.707,8.012,1.08,51.3,False,True
600885,宏发股份,36.02,3.95,7.7,36.02,34.56,34.49,0.337,0.287,0.1,1.47,34.41,True,False
300676,华大基因,41.94,3.97,7.5,41.94,38.28,36.6,1.219,0.847,0.744,1.35,37.48,True,False
688428,诺诚健华,31.8,1.44,7.1,31.8,28.0,26.31,0.877,0.378,0.998,1.18,27.07,False,True
