code,name,price,pct,amount_yi,industry,seg,close,ma20,ma60,dif,dea,hist,vol_ratio_5,low5,F1_macd共振,F2_回踩企稳
000623,吉林敖东,18.2,0.55,2.85,C27医药制造业,医疗服务/其他,18.2,18.2,17.84,0.035,0.056,-0.043,1.2,17.91,False,True
000739,普洛药业,22.81,2.1,9.81,C27医药制造业,原料药/化药,22.81,21.07,18.39,1.118,1.02,0.197,0.94,20.92,False,True
000989,九芝堂,9.53,1.6,5.48,C27医药制造业,中药,9.53,9.15,8.51,0.209,0.197,0.024,1.29,8.96,True,False
002020,京新药业,14.4,0.28,3.69,C27医药制造业,原料药/化药,14.4,13.96,13.5,0.125,0.081,0.087,1.03,13.59,False,True
002294,信立泰,35.8,1.45,13.42,C27医药制造业,医疗服务/其他,35.8,34.57,34.02,0.06,-0.172,0.465,1.1,33.8,False,True
002317,众生药业,29.0,3.76,20.26,C27医药制造业,医疗服务/其他,29.0,27.31,25.52,0.505,0.439,0.131,1.27,27.12,True,False
002399,海普瑞,10.73,0.85,1.67,C27医药制造业,医疗服务/其他,10.73,9.9,9.64,0.271,0.151,0.241,1.1,9.61,False,True
002412,汉森制药,7.34,0.55,2.08,C27医药制造业,中药,7.34,6.94,6.48,0.242,0.215,0.054,0.83,6.91,False,True
002437,誉衡药业,4.25,10.1,19.54,C27医药制造业,医疗服务/其他,4.25,3.06,2.92,0.219,0.085,0.267,1.05,2.82,False,True
002644,佛慈制药,8.8,10.0,2.22,C27医药制造业,中药,8.8,7.83,7.57,0.191,0.117,0.148,2.9,7.74,True,False
002773,康弘药业,23.05,0.26,2.48,C27医药制造业,医疗服务/其他,23.05,21.96,21.51,0.25,0.088,0.324,0.81,20.93,False,True
300009,安科生物,8.78,3.54,4.84,C27医药制造业,疫苗/生物制品,8.78,8.31,8.16,0.102,0.06,0.084,1.52,8.13,True,False
300026,红日药业,3.76,7.43,9.57,C27医药制造业,医疗服务/其他,3.76,3.4,3.23,0.086,0.064,0.043,2.26,3.31,True,False
300039,上海凯宝,6.21,7.44,7.99,C27医药制造业,医疗服务/其他,6.21,5.64,5.08,0.241,0.215,0.053,1.4,5.46,True,False
300119,瑞普生物,19.68,-0.81,2.84,C27医药制造业,医疗服务/其他,19.68,17.11,16.14,0.876,0.586,0.58,1.3,17.64,True,False
300149,睿智医药,11.34,5.0,9.5,M73研究和试验发展,医疗服务/其他,11.34,9.73,9.04,0.449,0.25,0.398,1.12,9.56,False,True
300347,泰格医药,55.32,3.02,16.18,M73研究和试验发展,CXO/研发服务,55.32,50.7,45.53,2.03,1.648,0.763,1.04,49.08,False,True
300357,我武生物,25.82,3.28,4.87,C27医药制造业,疫苗/生物制品,25.82,24.22,23.24,0.44,0.277,0.327,1.19,23.1,False,True
300363,博腾股份,22.36,3.86,13.36,C27医药制造业,CXO/研发服务,22.36,17.61,16.3,1.295,0.64,1.311,0.94,17.03,False,True
300404,博济医药,14.45,20.02,8.23,M73研究和试验发展,医疗服务/其他,14.45,10.19,9.59,0.783,0.353,0.861,1.17,9.86,False,True
300434,金石亚药,12.86,7.89,6.24,C27医药制造业,医疗服务/其他,12.86,10.7,10.42,0.348,0.099,0.5,1.52,10.43,True,False
300558,贝达药业,68.47,1.29,13.57,C27医药制造业,创新药,68.47,61.28,58.48,1.992,0.971,2.043,0.92,60.81,False,True
300702,天宇股份,22.61,0.85,0.76,C27医药制造业,原料药/化药,22.61,20.91,20.42,0.497,0.251,0.492,0.64,20.73,False,True
300725,药石科技,54.79,10.64,26.15,M73研究和试验发展,CXO/研发服务,54.79,41.26,37.4,3.518,1.969,3.098,1.12,40.12,False,True
300759,康龙化成,49.8,3.97,51.58,M73研究和试验发展,CXO/研发服务,49.8,40.45,31.39,4.03,3.199,1.662,0.96,39.6,False,True
301080,百普赛斯,88.21,7.31,21.89,M73研究和试验发展,医疗服务/其他,88.21,58.17,48.34,8.417,4.604,7.626,1.0,53.35,False,True
301211,亨迪药业,11.86,1.28,1.61,C27医药制造业,医疗服务/其他,11.86,11.01,10.82,0.124,-0.005,0.257,1.14,10.8,False,True
301257,普蕊斯,52.8,4.95,4.98,M73研究和试验发展,CXO/研发服务,52.8,46.08,45.53,0.422,-0.696,2.236,0.99,40.9,False,True
301520,万邦医药,88.68,20.0,12.76,M73研究和试验发展,医疗服务/其他,88.68,56.24,42.67,7.403,4.406,5.993,0.9,50.3,False,True
600079,ST人福,18.07,0.06,1.24,C27医药制造业,医疗服务/其他,18.07,17.73,17.42,0.169,0.138,0.06,0.69,17.75,False,True
600129,太极集团,16.61,3.23,8.75,C27医药制造业,中药,16.61,15.7,14.65,0.33,0.316,0.029,1.35,15.13,True,False
600252,中恒集团,2.38,3.48,2.88,C27医药制造业,医疗服务/其他,2.38,2.21,2.11,0.06,0.048,0.023,1.72,2.17,True,False
600327,大东方,4.18,3.72,2.82,Q84卫生,医疗服务/其他,4.18,3.64,3.52,0.14,0.08,0.12,1.52,3.5,True,False
600351,亚宝药业,7.04,1.59,2.77,C27医药制造业,医疗服务/其他,7.04,6.68,6.36,0.162,0.134,0.056,1.18,6.57,False,True
600422,昆药集团,9.12,-2.98,2.5,C27医药制造业,中药,9.12,9.01,8.63,0.11,0.107,0.005,1.4,8.61,True,False
600572,康恩贝,4.68,-1.47,12.72,C27医药制造业,医疗服务/其他,4.68,4.35,4.21,0.087,0.055,0.065,2.14,4.2,True,False
600664,哈药股份,8.86,0.57,44.88,C27医药制造业,原料药/化药,8.86,6.39,4.32,1.09,0.845,0.489,1.16,6.45,False,True
600671,天目药业,22.46,4.17,1.65,C27医药制造业,医疗服务/其他,22.46,20.95,18.84,0.776,0.737,0.078,1.69,21.06,True,False
600721,百花医药,14.5,3.35,25.72,M73研究和试验发展,CXO/研发服务,14.5,8.69,7.71,1.576,0.796,1.562,2.06,10.1,True,False
600812,华北制药,5.08,1.4,1.73,C27医药制造业,原料药/化药,5.08,4.85,4.63,0.091,0.072,0.038,1.14,4.72,False,True
603087,甘李药业,77.48,0.36,23.19,C27医药制造业,医疗服务/其他,77.48,68.52,61.47,3.134,2.41,1.449,1.36,67.0,True,False
603127,昭衍新药,51.9,1.47,28.25,M73研究和试验发展,CXO/研发服务,51.9,47.13,40.86,2.353,1.863,0.979,0.85,46.2,False,True
603367,辰欣药业,15.25,-0.97,4.01,C27医药制造业,医疗服务/其他,15.25,14.49,13.93,0.285,0.209,0.151,1.28,14.54,True,False
603456,九洲药业,18.26,8.5,13.48,C27医药制造业,CXO/研发服务,18.26,15.33,14.04,0.757,0.485,0.544,1.38,15.1,True,False
603858,步长制药,16.0,0.82,1.61,C27医药制造业,中药,16.0,15.77,15.4,0.093,0.087,0.012,1.3,15.34,True,False
603882,金域医学,30.54,0.89,3.86,Q84卫生,医疗服务/其他,30.54,27.89,25.75,1.336,1.033,0.606,0.67,27.51,False,True
688046,药康生物,40.95,6.09,13.08,M73研究和试验发展,医疗服务/其他,40.95,28.54,23.61,3.853,2.325,3.055,1.13,27.74,False,True
688073,毕得医药,84.83,6.57,7.99,M73研究和试验发展,CXO/研发服务,84.83,55.26,52.27,6.68,2.66,8.041,1.08,51.3,False,True
688105,诺唯赞,24.42,3.47,6.22,M73研究和试验发展,医疗服务/其他,24.42,19.16,17.66,1.61,0.954,1.313,1.03,19.4,False,True
688137,近岸蛋白,64.0,20.01,4.25,M73研究和试验发展,医疗服务/其他,64.0,40.86,39.59,4.865,2.009,5.712,1.1,38.56,False,True
688176,亚虹医药-U,13.2,3.29,3.15,C27医药制造业,创新药,13.2,12.55,11.73,0.145,0.093,0.104,1.4,12.24,True,False
688177,百奥泰,20.97,5.06,1.8,C27医药制造业,医疗器械,20.97,17.95,17.94,0.557,0.166,0.782,1.32,17.4,True,False
688180,君实生物-U,40.13,3.88,16.06,C27医药制造业,创新药,40.13,37.07,34.74,0.946,0.713,0.466,1.41,36.6,True,False
688192,迪哲医药-U,61.19,4.08,8.26,C27医药制造业,创新药,61.19,56.08,48.93,1.926,1.582,0.687,1.06,52.2,False,True
688202,美迪西,107.35,1.27,12.34,M73研究和试验发展,CXO/研发服务,107.35,84.34,72.37,7.391,4.452,5.879,0.84,79.83,False,True
688222,成都先导,39.86,5.17,13.83,M73研究和试验发展,CXO/研发服务,39.86,30.79,30.41,1.827,0.606,2.442,1.01,30.36,False,True
688238,和元生物,7.39,4.38,2.99,M73研究和试验发展,医疗服务/其他,7.39,6.05,5.9,0.327,0.142,0.371,1.1,5.92,False,True
688247,宣泰医药,10.09,6.89,1.69,C27医药制造业,医疗服务/其他,10.09,8.73,8.49,0.247,0.091,0.312,1.49,8.59,True,False
688265,南模生物,52.42,20.01,2.89,M73研究和试验发展,医疗服务/其他,52.42,36.85,35.41,3.136,1.325,3.62,1.14,35.52,False,True
688278,特宝生物,61.43,3.49,4.26,C27医药制造业,医疗服务/其他,61.43,58.56,56.98,0.537,0.294,0.487,1.17,54.0,False,True
688293,奥浦迈,67.53,9.2,5.95,M73研究和试验发展,医疗服务/其他,67.53,56.38,46.76,4.42,3.411,2.017,1.08,53.2,False,True
